Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"P2_10/EN","OffPage","03 MCU","3","MAIN","R22.2,U2.8,U20.6","150","770","5B","{3}"
"P2_10/EN","OffPage","03 MCU","3","MAIN","R22.2,U2.8,U20.6","660","230","3D","{3}"
"P2_09/EN","OffPage","03 MCU","3","MAIN","R13.1,U14.6,U2.7","1540","160","1D","{3}"
"P2_09/EN","OffPage","03 MCU","3","MAIN","R13.1,U14.6,U2.7","660","240","3D","{3}"
"BAT2_VAL","OffPage","03 MCU","3","MAIN","U2.3","660","280","3C","{4}"
"BAT2_VAL","OffPage","04 POWER","4","MAIN","C40.1,R35.1,R36.2","1260","370","2C","{3}"
"P0_08/EN","OffPage","03 MCU","3","MAIN","R9.1,U2.28,U6.6","720","970","3A","{3}"
"P0_08/EN","OffPage","03 MCU","3","MAIN","R9.1,U2.28,U6.6","170","180","5D","{3}"
"P1_11/DRY","OffPage","03 MCU","3","MAIN","U11.14,U2.27","170","170","5D","{3}"
"P1_11/DRY","OffPage","03 MCU","3","MAIN","U11.14,U2.27","180","910","5A","{3}"
"SYS_WAKE1/INT1","OffPage","03 MCU","3","MAIN","U11.12,U2.23","180","900","5A","{3}"
"SYS_WAKE1/INT1","OffPage","03 MCU","3","MAIN","U11.12,U2.23","170","130","5D","{3}"
"CTL_ONOFF","OffPage","03 MCU","3","MAIN","R28.1,U9.C2","1510","490","1C","{4}"
"CTL_ONOFF","OffPage","04 POWER","4","MAIN","R39.2,R40.2,R41.2","490","720","4B","{3}"
"BAT1_VAL","OffPage","03 MCU","3","MAIN","U2.6","660","250","3D","{4}"
"BAT1_VAL","OffPage","04 POWER","4","MAIN","C24.1,R23.1,R24.2","1230","160","2D","{3}"
"CTL1/P0_14","OffPage","03 MCU","3","MAIN","U2.22","170","120","5D","{4}"
"CTL1/P0_14","OffPage","04 POWER","4","MAIN","R11.2,U18.3","910","280","3C","{3}"
"CTL2/P2_02","OffPage","03 MCU","3","MAIN","U2.24","170","140","5D","{4}"
"CTL2/P2_02","OffPage","04 POWER","4","MAIN","R38.2,U19.3","910","490","3C","{3}"
