Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"CS","OffPage","04 MODULE","4","MAIN","J7.4,R116.2","490","140","4D","{3}"
"CS","OffPage","03 MCU","3","MAIN","U1.128","490","90","4D","{4}"
"RS","OffPage","04 MODULE","4","MAIN","J7.5","490","150","4D","{3}"
"RS","OffPage","03 MCU","3","MAIN","U1.77","1220","620","2B","{4}"
"TFT_RESET","OffPage","04 MODULE","4","MAIN","J7.8","490","180","4D","{3}"
"TFT_RESET","OffPage","03 MCU","3","MAIN","U1.126","1220","90","2D","{4}"
"CTL_SENSOR","OffPage","07 DCDC POWER","7","MAIN","R120.2","960","260","3D","{3}"
"CTL_SENSOR","OffPage","03 MCU","3","MAIN","U1.47","450","800","4B","{7}"
"CHARGE_DETECT","OffPage","06 BAT CHARGE","6","MAIN","R261.2","1200","430","2C","{3}"
"CHARGE_DETECT","OffPage","03 MCU","3","MAIN","U1.58","1180","880","2A","{6}"
"TP_DCLK","OffPage","04 MODULE","4","MAIN","U5.16","1500","160","1D","{3}"
"TP_DCLK","OffPage","03 MCU","3","MAIN","U1.141","490","200","4D","{4}"
"TP_CS","OffPage","04 MODULE","4","MAIN","R7.2,U5.15","1500","170","1D","{3}"
"TP_CS","OffPage","03 MCU","3","MAIN","U1.140","490","190","4D","{4}"
"UART4_TX","OffPage","04 MODULE","4","MAIN","R95.2","1070","880","2A","{3}"
"UART4_TX","OffPage","03 MCU","3","MAIN","U1.45","450","780","4B","{4}"
"UART4_RX","OffPage","04 MODULE","4","MAIN","R96.2","1070","890","2A","{3}"
"UART4_RX","OffPage","03 MCU","3","MAIN","U1.46","450","790","4B","{4}"
"TP_DOUT","OffPage","04 MODULE","4","MAIN","U5.12","1500","200","1D","{3}"
"TP_DOUT","OffPage","03 MCU","3","MAIN","U1.143","490","220","4D","{4}"
"TP_IRQ","OffPage","04 MODULE","4","MAIN","R8.2,U5.11","1500","210","1D","{3}"
"TP_IRQ","OffPage","03 MCU","3","MAIN","U1.125","1220","100","2D","{4}"
"BL","OffPage","04 MODULE","4","MAIN","R14.1","1340","450","1C","{3}"
"BL","OffPage","03 MCU","3","MAIN","U1.104","1220","350","2C","{4}"
"S_VOLT","OffPage","07 DCDC POWER","7","MAIN","C58.1,R78.2,R82.1","1420","170","1D","{3}"
"S_VOLT","OffPage","03 MCU","3","MAIN","U1.29","450","590","4B","{7}"
"S_CURR","OffPage","07 DCDC POWER","7","MAIN","C106.2,U18.1","960","220","3D","{3}"
"S_CURR","OffPage","03 MCU","3","MAIN","U1.27","450","570","4B","{7}"
"C_VOLT","OffPage","07 DCDC POWER","7","MAIN","C126.1,R246.1,R248.2","1420","420","1C","{3}"
"C_VOLT","OffPage","03 MCU","3","MAIN","U1.36","450","660","4B","{7}"
"C_CURR","OffPage","07 DCDC POWER","7","MAIN","C125.2,U48.1","960","470","3C","{3}"
"C_CURR","OffPage","03 MCU","3","MAIN","U1.35","450","650","4B","{7}"
"WORK_VOLT","OffPage","03 MCU","3","MAIN","U1.23","450","530","4C","{6}"
"WORK_VOLT","OffPage","06 BAT CHARGE","6","MAIN","C72.2,R102.1,R103.2,TP3.1","1440","720","1B","{3}"
"TP_DIN","OffPage","04 MODULE","4","MAIN","U5.14","1500","180","1D","{3}"
"TP_DIN","OffPage","03 MCU","3","MAIN","U1.142","490","210","4D","{4}"
"UART1_TX","OffPage","04 MODULE","4","MAIN","U7.4","180","760","5B","{3}"
"UART1_TX","OffPage","03 MCU","3","MAIN","U1.109","1220","210","2D","{4}"
"S_B","OffPage","04 MODULE","4","MAIN","R23.1,R24.2,U10.7","490","910","4A","{8}"
"S_B","OffPage","08 OUT PORT","8","MAIN","J8.3","390","200","4D","{4}"
"R_A","OffPage","04 MODULE","4","MAIN","R19.1,R21.2,U7.6","490","750","4B","{8}"
"R_A","OffPage","08 OUT PORT","8","MAIN","J17.4","600","210","4D","{4}"
"R_B","OffPage","04 MODULE","4","MAIN","R16.1,R19.2,U7.7","490","700","4B","{8}"
"R_B","OffPage","08 OUT PORT","8","MAIN","J17.3","600","200","4D","{4}"
"S_A","OffPage","04 MODULE","4","MAIN","R24.1,R27.2,U10.6","490","960","4A","{8}"
"S_A","OffPage","08 OUT PORT","8","MAIN","J8.4","390","210","4D","{4}"
"UART5_RD#","OffPage","04 MODULE","4","MAIN","U10.2,U10.3","180","950","5A","{3}"
"UART5_RD#","OffPage","03 MCU","3","MAIN","U1.13","450","430","4C","{4}"
"RMII0_TXD[1..0]","OffPage","05 WIFI","5","MAIN","","710","770","3B","{3}"
"RMII0_TXD[1..0]","OffPage","03 MCU","3","MAIN","","1180","760","2B","{5}"
"RMII0_TXEN","OffPage","05 WIFI","5","MAIN","U12.23","710","870","3A","{3}"
"RMII0_TXEN","OffPage","03 MCU","3","MAIN","U1.67","1180","800","2B","{5}"
"RMII0_RXD[1..0]","OffPage","05 WIFI","5","MAIN","","710","1010","3A","{3}"
"RMII0_RXD[1..0]","OffPage","03 MCU","3","MAIN","","1180","850","2B","{5}"
"RMII0_MDC","OffPage","05 WIFI","5","MAIN","U12.12","710","1050","3A","{3}"
"RMII0_MDC","OffPage","03 MCU","3","MAIN","U1.82","1220","570","2B","{5}"
"RMII0_MDIO","OffPage","05 WIFI","5","MAIN","R65.1,U12.11","710","1060","3A","{3}"
"RMII0_MDIO","OffPage","03 MCU","3","MAIN","U1.81","1220","580","2B","{5}"
"CTL_CAMERA","OffPage","07 DCDC POWER","7","MAIN","R249.2","960","510","3C","{3}"
"CTL_CAMERA","OffPage","03 MCU","3","MAIN","U1.48","450","810","4B","{7}"
"FB_AD[15..0]","OffPage","04 MODULE","4","MAIN","","490","350","4C","{3}"
"FB_AD[15..0]","OffPage","03 MCU","3","MAIN","","330","120","4D","{4}"
"FB_D[15..0]","OffPage","03 MCU","3","MAIN","","330","100","4D","{4}"
"WR","OffPage","04 MODULE","4","MAIN","J7.6","490","160","4D","{3}"
"WR","OffPage","03 MCU","3","MAIN","U1.123","1410","120","1D","{4}"
"FB_BE_23_16","OffPage","03 MCU","3","MAIN","U1.123","1220","120","2D","{4}"
"RXP3_A","OffPage","05 WIFI","5","MAIN","T2.6","1200","430","2C","{8}"
"RXP3_A","OffPage","08 OUT PORT","8","MAIN","J9.6","190","220","5D","{5}"
"RXN3_A","OffPage","05 WIFI","5","MAIN","T2.8","1200","470","2C","{8}"
"RXN3_A","OffPage","08 OUT PORT","8","MAIN","J9.5","190","210","5D","{5}"
"UART5_TX","OffPage","04 MODULE","4","MAIN","U10.4","180","970","5A","{3}"
"UART5_TX","OffPage","03 MCU","3","MAIN","U1.11","450","410","4C","{4}"
"UART5_RX","OffPage","04 MODULE","4","MAIN","U10.1","180","940","5A","{3}"
"UART5_RX","OffPage","03 MCU","3","MAIN","U1.12","450","420","4C","{4}"
"RD","OffPage","04 MODULE","4","MAIN","J7.7","490","170","4D","{3}"
"RD","OffPage","03 MCU","3","MAIN","U1.98","1400","410","1C","{4}"
"FB_OE_b","OffPage","03 MCU","3","MAIN","U1.98","1220","410","2C","{4}"
"TXP3_A","OffPage","05 WIFI","5","MAIN","T2.1","1200","360","2C","{8}"
"TXP3_A","OffPage","08 OUT PORT","8","MAIN","J9.4","190","200","5D","{5}"
"TXN3_A","OffPage","05 WIFI","5","MAIN","T2.3","1200","400","2C","{8}"
"TXN3_A","OffPage","08 OUT PORT","8","MAIN","J9.3","190","190","5D","{5}"
"UART1_RD#","OffPage","04 MODULE","4","MAIN","U7.2,U7.3","180","740","5B","{3}"
"UART1_RD#","OffPage","03 MCU","3","MAIN","U1.105","1220","340","2C","{4}"
"UART1_RX","OffPage","04 MODULE","4","MAIN","U7.1","180","730","5B","{3}"
"UART1_RX","OffPage","03 MCU","3","MAIN","U1.106","1220","330","2C","{4}"
